variant,run_id,success,total_steps,total_reward,total_path_length,total_collisions,total_energy_consumed,wall_time_seconds
full,1,True,146,-645.54,341.47,0,83.9,4.75
full,2,True,206,-1282.82,376.62,0,111.69,5.2
full,3,True,230,-1583.27,389.64,0,121.77,4.53
full,4,True,192,-1142.43,375.81,0,105.1,7.78
full,5,True,157,-725.29,345.81,0,85.03,4.04
full,6,True,156,-742.77,341.04,0,84.14,3.57
full,7,True,231,-1542.3,386.32,0,121.57,3.98
full,8,True,236,-1663.93,400.06,0,129.9,3.39
full,9,True,163,-858.58,355.27,0,95.78,3.14
full,10,True,223,-1494.0,383.52,0,118.98,3.36
full,11,True,145,-616.88,330.45,0,78.75,2.8
full,12,True,181,-945.69,346.72,0,88.82,3.17
full,13,True,178,-900.55,356.38,0,88.74,3.01
full,14,True,176,-940.88,345.15,0,94.97,2.93
full,15,True,149,-660.38,337.59,0,84.56,2.77
full,16,True,178,-975.17,350.81,0,95.77,3.08
full,17,True,152,-695.47,345.35,0,85.66,3.11
full,18,True,141,-631.93,330.39,0,84.94,2.82
full,19,True,225,-1557.77,391.33,0,124.62,5.03
full,20,True,111,-396.1,280.88,0,67.13,2.6
full,21,True,172,-884.81,343.59,0,90.02,3.22
full,22,True,178,-922.54,359.3,0,92.65,3.21
full,23,True,230,-1630.51,402.7,0,128.35,3.64
full,24,True,167,-800.57,338.28,0,86.46,3.08
full,25,True,151,-674.18,337.49,0,82.22,3.22
full,26,True,146,-613.98,329.54,0,78.69,2.73
full,27,True,219,-1382.68,381.92,0,111.45,3.37
full,28,True,229,-1482.93,394.64,0,116.89,3.51
full,29,True,148,-676.3,340.12,0,84.92,4.52
full,30,True,156,-692.11,337.45,0,82.15,2.92
no_ga,1,True,162,-828.2,358.38,0,92.5,2.86
no_ga,2,True,180,-923.12,363.47,0,92.11,3.53
no_ga,3,True,173,-916.43,360.86,0,94.85,3.05
no_ga,4,True,175,-914.41,358.64,0,94.75,3.85
no_ga,5,True,171,-857.47,357.95,0,92.75,3.07
no_ga,6,True,178,-944.61,364.0,0,93.81,3.24
no_ga,7,True,174,-879.09,362.41,0,93.37,3.21
no_ga,8,True,180,-977.08,362.65,0,95.65,3.14
no_ga,9,True,177,-910.27,365.25,0,93.03,3.13
no_ga,10,True,177,-913.75,359.33,0,92.17,3.18
no_ga,11,True,159,-818.18,357.24,0,91.88,3.7
no_ga,12,True,176,-892.1,357.98,0,91.53,3.5
no_ga,13,True,181,-936.38,362.33,0,92.58,3.06
no_ga,14,True,184,-1028.6,364.12,0,99.2,3.12
no_ga,15,True,170,-859.41,356.25,0,92.65,2.91
no_ga,16,True,178,-940.77,359.97,0,94.67,3.08
no_ga,17,True,186,-976.22,365.55,0,93.59,3.14
no_ga,18,True,175,-896.82,358.28,0,90.82,3.1
no_ga,19,True,176,-869.08,360.64,0,90.48,3.26
no_ga,20,True,177,-894.02,358.69,0,91.6,3.19
no_ga,21,True,182,-950.13,365.59,0,92.65,3.29
no_ga,22,True,181,-959.25,366.91,0,95.1,3.21
no_ga,23,True,159,-813.73,359.09,0,92.39,3.06
no_ga,24,True,177,-916.29,360.12,0,92.94,3.18
no_ga,25,True,167,-849.39,355.0,0,92.83,3.07
no_ga,26,True,168,-852.57,359.61,0,91.08,2.98
no_ga,27,True,158,-788.48,355.52,0,89.93,2.93
no_ga,28,True,162,-793.79,357.84,0,89.19,3.0
no_ga,29,True,173,-879.82,357.22,0,91.06,3.03
no_ga,30,True,177,-942.88,360.81,0,94.61,3.09
no_repulsion,1,True,160,-901.9,334.06,11,74.02,1.56
no_repulsion,2,True,148,-603.99,327.96,0,70.95,1.55
no_repulsion,3,True,143,-559.51,325.49,0,70.52,1.58
no_repulsion,4,True,148,-712.19,320.79,6,68.21,1.46
no_repulsion,5,True,150,-603.88,331.51,0,70.65,1.46
no_repulsion,6,True,161,-762.97,335.03,4,73.01,1.5
no_repulsion,7,True,162,-877.62,343.73,8,76.45,1.59
no_repulsion,8,True,139,-520.47,320.78,0,66.29,1.47
no_repulsion,9,True,135,-516.96,313.48,0,66.45,1.43
no_repulsion,10,True,156,-642.02,336.26,0,71.15,1.51
no_repulsion,11,True,154,-631.32,330.47,0,71.1,1.48
no_repulsion,12,True,167,-768.95,336.9,3,73.54,1.57
no_repulsion,13,True,160,-760.12,349.26,3,75.73,1.51
no_repulsion,14,True,158,-661.13,328.42,0,73.16,1.49
no_repulsion,15,True,140,-528.99,324.2,0,67.64,1.49
no_repulsion,16,True,163,-796.83,339.51,4,76.22,1.6
no_repulsion,17,True,156,-762.27,332.78,5,73.85,1.63
no_repulsion,18,True,142,-565.4,316.73,0,70.76,1.51
no_repulsion,19,True,153,-697.16,331.2,3,73.21,1.49
no_repulsion,20,True,160,-710.33,341.93,3,70.91,1.62
no_repulsion,21,True,154,-656.49,328.14,0,73.94,1.58
no_repulsion,22,True,151,-614.67,338.42,0,72.49,2.17
no_repulsion,23,True,158,-689.03,336.95,0,75.33,1.65
no_repulsion,24,True,164,-783.77,348.03,5,72.51,1.7
no_repulsion,25,True,155,-855.27,334.28,10,73.47,1.66
no_repulsion,26,True,161,-819.79,346.09,7,73.88,1.65
no_repulsion,27,True,144,-573.0,327.88,0,70.95,1.82
no_repulsion,28,True,164,-761.63,338.86,4,73.53,3.5
no_repulsion,29,True,112,-360.61,281.26,0,59.21,1.53
no_repulsion,30,True,161,-786.0,339.99,5,75.07,1.63
floor,1,True,161,-698.56,349.29,1,73.22,1.6
floor,2,True,159,-675.28,344.29,1,72.12,1.54
floor,3,True,163,-780.87,350.12,5,73.74,1.48
