variant,run,total_steps,total_path_length,total_energy_consumed (%)
full,1,76,561.05,65.32
full,2,89,553.3,72.08
full,3,54,396.6,50.11
full,4,52,333.94,45.4
full,5,53,389.07,48.61
full,6,53,389.07,48.54
full,7,52,381.5,51.15
full,8,77,481.51,57.47
full,9,82,511.65,63.91
full,10,52,333.79,46.59
full,11,55,351.91,48.68
full,12,101,625.79,73.78
full,13,77,483.39,59.4
full,14,54,344.23,46.67
full,15,75,387.38,49.17
full,16,52,381.91,52.96
full,17,92,462.58,56.23
full,18,66,486.05,63.73
full,19,52,332.29,45.58
full,20,79,405.84,52.87
full,21,64,471.4,60.57
full,22,64,471.48,58.07
full,23,80,499.29,62.93
full,24,64,471.07,57.1
full,25,66,486.45,59.14
full,26,66,486.22,59.79
full,27,62,456.27,57.72
full,28,52,332.3,46.08
full,29,75,387.82,51.03
full,30,75,470.1,59.85
no_ga,1,51,374.15,47.85
no_ga,2,52,381.67,49.44
no_ga,3,72,452.38,57.89
no_ga,4,76,475.78,56.7
no_ga,5,52,381.63,49.02
no_ga,6,53,389.13,49.51
no_ga,7,78,487.97,59.33
no_ga,8,50,366.85,49.42
no_ga,9,52,381.92,51.29
no_ga,10,51,374.16,49.14
no_ga,11,55,404.04,49.86
no_ga,12,72,531.0,63.75
no_ga,13,77,568.3,66.16
no_ga,14,128,624.28,74.36
no_ga,15,52,381.56,48.1
no_ga,16,76,475.42,56.98
no_ga,17,79,493.41,62.7
no_ga,18,52,381.64,50.95
no_ga,19,51,326.58,43.5
no_ga,20,73,458.4,59.61
no_ga,21,51,374.1,48.08
no_ga,22,52,381.6,50.5
no_ga,23,52,381.63,46.36
no_ga,24,52,381.61,49.55
no_ga,25,52,381.91,51.2
no_ga,26,51,374.21,50.62
no_ga,27,79,493.95,60.5
no_ga,28,75,469.78,55.16
no_ga,29,51,374.45,51.91
no_ga,30,50,366.86,48.05
no_repulsion,1,53,338.1,45.65
no_repulsion,2,64,471.31,58.81
no_repulsion,3,84,523.57,68.19
no_repulsion,4,87,541.49,66.81
no_repulsion,5,55,350.09,46.83
no_repulsion,6,64,471.47,55.61
no_repulsion,7,53,338.11,44.19
no_repulsion,8,64,471.49,58.42
no_repulsion,9,54,396.57,48.6
no_repulsion,10,52,332.25,45.3
no_repulsion,11,54,396.57,49.1
no_repulsion,12,51,374.28,50.06
no_repulsion,13,51,374.42,47.57
no_repulsion,14,66,486.29,59.97
no_repulsion,15,75,386.33,49.11
no_repulsion,16,77,482.3,59.05
no_repulsion,17,53,389.06,49.02
no_repulsion,18,50,320.3,42.3
no_repulsion,19,51,374.09,49.44
no_repulsion,20,75,386.35,48.63
no_repulsion,21,53,389.07,50.2
no_repulsion,22,67,493.92,58.51
no_repulsion,23,54,396.6,51.2
no_repulsion,24,79,493.29,59.23
no_repulsion,25,86,535.53,65.73
no_repulsion,26,51,374.09,46.78
no_repulsion,27,51,374.29,48.41
no_repulsion,28,77,481.44,58.0
no_repulsion,29,52,381.59,49.24
no_repulsion,30,52,381.64,51.11
floor,1,53,389.13,49.7
floor,2,74,463.72,56.96
floor,3,103,637.64,74.91
floor,4,50,366.73,47.88
floor,5,74,463.4,54.5
floor,6,52,381.97,53.83
floor,7,74,545.96,65.21
floor,8,52,381.64,49.2
floor,9,51,374.45,52.81
floor,10,73,458.06,56.08
floor,11,49,359.14,47.75
floor,12,54,396.8,53.71
floor,13,75,471.81,62.96
floor,14,85,431.03,51.47
floor,15,51,374.15,47.85
floor,16,77,481.75,57.46
floor,17,78,487.43,60.71
floor,18,54,396.56,48.38
floor,19,114,561.05,64.93
floor,20,54,397.07,51.95
floor,21,77,481.58,57.01
floor,22,51,374.09,47.14
floor,23,76,475.63,59.24
floor,24,75,469.45,58.31
floor,25,51,374.43,52.42
floor,26,52,381.61,49.95
floor,27,51,374.33,48.86
floor,28,49,359.28,46.48
floor,29,149,718.58,85.79
floor,30,52,332.42,46.69
