variant,run_id,success,total_steps,total_reward,total_path_length,total_collisions,total_energy_consumed,wall_time_seconds
full,1,True,76,-268.9,561.05,0,65.32,5.27
full,2,True,89,-346.88,553.3,0,72.08,2.71
full,3,True,54,-145.52,396.6,0,50.11,2.45
full,4,True,52,-121.85,333.94,0,45.4,2.36
full,5,True,53,-132.96,389.07,0,48.61,2.61
full,6,True,53,-136.92,389.07,0,48.54,1.09
full,7,True,52,-138.55,381.5,0,51.15,0.88
full,8,True,77,-241.19,481.51,0,57.47,1.06
full,9,True,82,-285.09,511.65,0,63.91,0.98
full,10,True,52,-130.93,333.79,0,46.59,0.95
full,11,True,55,-141.7,351.91,0,48.68,0.86
full,12,True,101,-407.58,625.79,0,73.78,1.16
full,13,True,77,-250.56,483.39,0,59.4,0.93
full,14,True,54,-155.29,344.23,1,46.67,0.89
full,15,True,75,-220.58,387.38,0,49.17,0.94
full,16,True,52,-162.63,381.91,1,52.96,0.83
full,17,True,92,-297.85,462.58,0,56.23,1.13
full,18,True,66,-219.25,486.05,0,63.73,1.04
full,19,True,52,-125.96,332.29,0,45.58,0.86
full,20,True,79,-233.95,405.84,0,52.87,0.99
full,21,True,64,-211.03,471.4,0,60.57,1.06
full,22,True,64,-206.4,471.48,0,58.07,0.93
full,23,True,80,-278.51,499.29,0,62.93,0.93
full,24,True,64,-197.69,471.07,0,57.1,1.39
full,25,True,66,-217.31,486.45,0,59.14,0.88
full,26,True,66,-207.75,486.22,0,59.79,1.07
full,27,True,62,-187.54,456.27,0,57.72,0.95
full,28,True,52,-128.08,332.3,0,46.08,0.91
full,29,True,75,-224.41,387.82,0,51.03,0.84
full,30,True,75,-246.34,470.1,0,59.85,1.12
no_ga,1,True,51,-127.54,374.15,0,47.85,1.09
no_ga,2,True,52,-130.21,381.67,0,49.44,0.8
no_ga,3,True,72,-227.82,452.38,0,57.89,1.0
no_ga,4,True,76,-237.41,475.78,0,56.7,1.06
no_ga,5,True,52,-131.95,381.63,0,49.02,0.85
no_ga,6,True,53,-140.43,389.13,0,49.51,0.78
no_ga,7,True,78,-252.99,487.97,0,59.33,0.83
no_ga,8,True,50,-125.58,366.85,0,49.42,0.84
no_ga,9,True,52,-132.73,381.92,0,51.29,0.79
no_ga,10,True,51,-130.5,374.16,0,49.14,0.94
no_ga,11,True,55,-143.89,404.04,0,49.86,0.89
no_ga,12,True,72,-254.18,531.0,0,63.75,1.02
no_ga,13,True,77,-274.38,568.3,0,66.16,0.87
no_ga,14,True,128,-525.4,624.28,0,74.36,1.68
no_ga,15,True,52,-126.62,381.56,0,48.1,0.91
no_ga,16,True,76,-246.66,475.42,0,56.98,1.03
no_ga,17,True,79,-267.09,493.41,0,62.7,1.36
no_ga,18,True,52,-136.76,381.64,0,50.95,0.79
no_ga,19,True,51,-118.16,326.58,0,43.5,1.03
no_ga,20,True,73,-240.51,458.4,0,59.61,0.81
no_ga,21,True,51,-126.48,374.1,0,48.08,0.93
no_ga,22,True,52,-136.83,381.6,0,50.5,0.8
no_ga,23,True,52,-125.96,381.63,0,46.36,0.98
no_ga,24,True,52,-135.47,381.61,0,49.55,0.79
no_ga,25,True,52,-135.49,381.91,0,51.2,0.96
no_ga,26,True,51,-137.66,374.21,0,50.62,1.1
no_ga,27,True,79,-264.58,493.95,0,60.5,0.96
no_ga,28,True,75,-229.45,469.78,0,55.16,0.87
no_ga,29,True,51,-128.95,374.45,0,51.91,0.95
no_ga,30,True,50,-122.73,366.86,0,48.05,0.86
no_repulsion,1,True,53,-145.93,338.1,1,45.65,1.03
no_repulsion,2,True,64,-197.01,471.31,0,58.81,0.86
no_repulsion,3,True,84,-331.99,523.57,1,68.19,0.97
no_repulsion,4,True,87,-314.59,541.49,0,66.81,1.2
no_repulsion,5,True,55,-154.78,350.09,1,46.83,0.96
no_repulsion,6,True,64,-196.61,471.47,0,55.61,1.22
no_repulsion,7,True,53,-222.65,338.11,5,44.19,0.9
no_repulsion,8,True,64,-215.69,471.49,1,58.42,0.85
no_repulsion,9,True,54,-135.99,396.57,0,48.6,1.14
no_repulsion,10,True,52,-123.33,332.25,0,45.3,0.93
no_repulsion,11,True,54,-140.21,396.57,0,49.1,0.91
no_repulsion,12,True,51,-125.76,374.28,0,50.06,1.02
no_repulsion,13,True,51,-123.53,374.42,0,47.57,0.92
no_repulsion,14,True,66,-214.13,486.29,0,59.97,1.1
no_repulsion,15,True,75,-257.37,386.33,2,49.11,0.99
no_repulsion,16,True,77,-272.14,482.3,1,59.05,1.03
no_repulsion,17,True,53,-133.94,389.06,0,49.02,0.92
no_repulsion,18,True,50,-129.75,320.3,1,42.3,0.92
no_repulsion,19,True,51,-131.84,374.09,0,49.44,0.95
no_repulsion,20,True,75,-252.67,386.35,2,48.63,0.98
no_repulsion,21,True,53,-178.24,389.07,2,50.2,0.97
no_repulsion,22,True,67,-204.27,493.92,0,58.51,1.31
no_repulsion,23,True,54,-164.66,396.6,1,51.2,1.15
no_repulsion,24,True,79,-257.45,493.29,0,59.23,0.96
no_repulsion,25,True,86,-318.94,535.53,1,65.73,1.11
no_repulsion,26,True,51,-142.26,374.09,1,46.78,1.06
no_repulsion,27,True,51,-145.28,374.29,1,48.41,0.91
no_repulsion,28,True,77,-262.66,481.44,1,58.0,1.14
no_repulsion,29,True,52,-154.53,381.59,1,49.24,0.85
